ARPU,Internet Usage,Voice Usage,SMS Usage,Customer Segment,Gender,Location,Age,Churn
223,363,466,276,Travel,F,Pune,30-35,95
453,342,180,259,Food,M,Bangalore,60-65,85
218,198,188,229,Food,F,Mumbai,65-70,83
123,205,439,393,Banking,M,Jaipur,65-70,58
364,404,433,337,Travel,M,Jaipur,20-25,31
133,320,350,306,Food,F,Mumbai,20-25,46
205,135,428,486,Banking,M,Jodhpur,65-70,79
477,146,379,439,Lifestyle,M,Pune,25-30,49
398,169,450,349,War,M,Jaipur,40-45,46
257,128,497,200,Banking,F,Pune,40-45,28
493,139,428,227,Food,F,Jodhpur,40-45,18
412,425,452,482,Food,F,Jodhpur,25-30,50
415,131,406,115,Food,M,Jaipur,50-55,98
273,126,400,487,Travel,F,Chennai,60-65,91
443,310,424,342,Lifestyle,M,Delhi,35-40,80
126,321,225,255,Travel,M,Bangalore,20-25,10
332,465,148,369,Lifestyle,F,Jaipur,35-40,89
132,153,214,161,Hacking,M,Chennai,65-70,63
241,151,313,341,Lifestyle,M,Chennai,20-25,38
479,475,291,284,War,M,Chennai,35-40,75
175,229,366,308,Hacking,F,Bangalore,55-60,54
186,445,402,376,Banking,F,Jodhpur,20-25,7
290,495,419,498,Hacking,F,Chennai,65-70,43
269,366,484,282,Food,F,Delhi,60-65,14
144,175,248,484,Travel,M,Mysore,50-55,76
257,436,461,301,Hacking,M,Jodhpur,30-35,97
400,161,302,381,Banking,M,Chennai,50-55,5
348,397,379,374,Lifestyle,F,Jaipur,65-70,59
319,366,149,323,Lifestyle,M,Chennai,60-65,9
325,280,421,337,Lifestyle,F,Jodhpur,40-45,71
173,464,426,111,Banking,M,Jaipur,55-60,82
126,135,391,386,Food,F,Pune,45-50,39
203,189,474,489,Lifestyle,F,Chandigarh,35-40,16
482,140,373,136,Food,M,Mumbai,60-65,57
168,126,239,224,Food,M,Chennai,50-55,6
287,333,350,144,War,F,Jodhpur,35-40,17
178,253,272,234,Travel,F,Pune,30-35,74
448,308,254,442,War,M,Jodhpur,35-40,6
210,431,100,108,Travel,M,Jaipur,50-55,19
233,113,358,331,Food,M,Mumbai,50-55,29
419,254,461,380,Lifestyle,F,Chennai,30-35,47
379,404,147,400,Hacking,F,Pune,40-45,74
273,353,430,351,Banking,M,Jaipur,40-45,14
210,443,152,390,Lifestyle,M,Pune,30-35,33
120,295,379,363,Banking,M,Chandigarh,65-70,59
412,341,400,152,Hacking,F,Jodhpur,50-55,91
495,164,132,101,Travel,M,Delhi,50-55,51
101,319,331,438,Banking,M,Bangalore,30-35,26
425,237,496,433,Lifestyle,M,Pune,20-25,43
203,268,129,408,Hacking,M,Jaipur,30-35,76
338,368,493,465,Food,F,Mysore,35-40,86
307,378,462,116,Hacking,F,Chandigarh,55-60,47
354,439,439,129,Travel,M,Delhi,35-40,36
154,297,295,182,Travel,M,Bangalore,65-70,48
187,160,155,326,Lifestyle,F,Mysore,60-65,17
295,228,396,157,War,F,Jaipur,55-60,23
404,132,361,233,War,F,Mysore,40-45,63
165,343,236,357,Travel,M,Jodhpur,60-65,90
412,117,170,319,Travel,F,Mumbai,50-55,50
280,458,419,113,War,M,Jaipur,65-70,43
153,495,191,114,Hacking,M,Chandigarh,35-40,87
399,313,357,306,Banking,M,Pune,35-40,7
136,128,377,207,Hacking,F,Chandigarh,45-50,78
253,369,223,351,Lifestyle,M,Bangalore,25-30,98
455,205,358,110,Banking,F,Jodhpur,60-65,9
442,359,489,485,Travel,M,Pune,55-60,24
181,102,346,161,War,F,Jodhpur,45-50,79
317,294,274,105,Lifestyle,M,Mysore,50-55,12
448,314,389,192,War,M,Bangalore,45-50,53
481,221,428,353,Hacking,F,Mysore,35-40,90
135,491,181,342,Lifestyle,F,Chennai,25-30,46
476,141,138,144,Lifestyle,F,Mysore,20-25,71
165,340,210,147,Travel,M,Jodhpur,50-55,79
106,115,205,286,Lifestyle,M,Jodhpur,30-35,6
195,481,118,408,Travel,M,Mysore,45-50,34
402,254,200,227,Hacking,M,Chennai,45-50,25
354,368,389,290,Lifestyle,F,Delhi,25-30,59
409,207,464,198,Lifestyle,M,Delhi,30-35,88
264,228,349,476,War,M,Jodhpur,55-60,26
326,190,134,494,Lifestyle,M,Jaipur,60-65,98
149,120,175,458,Travel,F,Jaipur,40-45,8
104,107,159,270,Food,F,Chennai,55-60,20
227,295,258,465,War,M,Jaipur,50-55,85
171,139,389,404,Hacking,M,Mumbai,45-50,86
163,474,176,256,Hacking,M,Chennai,40-45,77
446,324,404,324,Hacking,M,Jodhpur,20-25,46
405,197,135,384,Banking,F,Delhi,65-70,90
193,375,169,272,Banking,F,Chandigarh,60-65,70
131,187,304,385,Lifestyle,F,Pune,50-55,26
294,484,454,232,Lifestyle,M,Pune,60-65,8
268,379,252,129,Food,F,Jodhpur,35-40,53
346,138,357,350,Banking,F,Mumbai,25-30,83
265,228,443,325,War,M,Chennai,30-35,1
165,364,393,341,Hacking,M,Pune,50-55,59
448,127,332,151,Hacking,F,Jodhpur,25-30,48
346,117,366,471,Travel,F,Bangalore,45-50,95
469,316,236,477,Lifestyle,M,Jaipur,40-45,91
269,149,153,245,Food,M,Jodhpur,20-25,1
195,233,153,168,Hacking,M,Jodhpur,60-65,77
157,326,108,335,Travel,M,Jaipur,40-45,27
299,181,229,156,Hacking,F,Chennai,25-30,44
375,475,106,202,Travel,F,Chandigarh,45-50,59
438,419,185,121,Lifestyle,M,Chennai,55-60,67
411,389,205,303,Lifestyle,F,Chennai,60-65,83
452,472,118,110,Travel,M,Mysore,20-25,89
425,362,193,443,Lifestyle,M,Pune,65-70,55
312,185,197,396,Lifestyle,F,Pune,50-55,15
454,455,121,146,Lifestyle,F,Pune,45-50,87
265,189,118,317,Food,F,Chandigarh,60-65,5
452,473,452,190,Travel,M,Mysore,40-45,80
481,484,428,369,War,F,Chandigarh,40-45,37
112,455,155,431,Lifestyle,F,Pune,20-25,17
416,216,336,207,Banking,F,Jaipur,65-70,75
466,364,210,172,Lifestyle,M,Chennai,25-30,24
162,413,380,383,War,M,Jodhpur,50-55,3
487,387,443,297,Lifestyle,M,Pune,30-35,2
187,270,261,171,War,M,Delhi,25-30,51
367,174,220,440,Travel,M,Delhi,50-55,63
396,332,245,126,Lifestyle,M,Jaipur,55-60,4
370,271,193,368,War,F,Pune,65-70,25
103,249,230,344,War,F,Mysore,30-35,2
147,415,194,229,Travel,F,Delhi,40-45,58
462,430,283,284,Lifestyle,M,Jaipur,50-55,44
222,316,311,409,Food,F,Chennai,20-25,41
157,203,198,265,Lifestyle,F,Chennai,60-65,76
486,320,105,391,Hacking,M,Chandigarh,25-30,16
109,141,299,202,War,M,Delhi,45-50,69
403,197,184,496,Travel,M,Jodhpur,55-60,17
373,395,411,232,Travel,F,Mumbai,40-45,59
215,493,386,140,Lifestyle,F,Bangalore,25-30,91
166,301,223,370,Banking,M,Delhi,65-70,26
192,472,219,173,War,M,Bangalore,20-25,13
224,214,491,364,War,F,Jaipur,45-50,51
220,461,156,305,Food,M,Delhi,50-55,65
245,128,435,254,War,F,Jaipur,45-50,41
272,211,280,332,Travel,F,Delhi,65-70,51
397,274,313,265,Banking,F,Pune,20-25,9
236,327,276,210,Lifestyle,M,Jodhpur,60-65,14
421,296,237,413,Travel,M,Chennai,40-45,85
381,206,168,491,Lifestyle,M,Mumbai,65-70,41
271,359,302,433,Food,F,Bangalore,55-60,83
408,432,393,316,Hacking,F,Jodhpur,40-45,40
282,357,239,180,Banking,F,Mumbai,40-45,75
351,279,389,389,Banking,F,Delhi,60-65,77
188,256,294,454,Travel,M,Delhi,40-45,48
388,380,394,258,Lifestyle,M,Chandigarh,45-50,42
228,410,496,332,Banking,F,Pune,40-45,61
111,413,216,167,War,F,Jodhpur,25-30,44
110,172,397,168,Hacking,F,Mumbai,50-55,91
254,127,283,363,Travel,F,Jodhpur,50-55,71
289,112,427,355,Banking,M,Mumbai,55-60,5
239,161,459,327,Banking,M,Chennai,55-60,53
395,342,158,497,Travel,M,Chennai,65-70,2
106,144,284,206,Travel,F,Chandigarh,65-70,66
469,297,190,407,Hacking,F,Jaipur,35-40,58
195,177,340,308,War,F,Chandigarh,60-65,47
109,453,419,340,Food,M,Chennai,25-30,43
211,296,408,275,Travel,F,Mumbai,55-60,92
148,328,389,486,Lifestyle,F,Jaipur,25-30,58
460,268,102,492,Hacking,M,Mysore,45-50,87
159,305,300,472,Lifestyle,M,Chandigarh,50-55,8
233,115,276,346,Food,F,Jaipur,35-40,28
155,226,307,481,Hacking,F,Jaipur,60-65,69
200,110,391,211,Hacking,F,Chennai,25-30,70
117,375,421,453,Hacking,M,Mysore,25-30,42
209,365,247,446,Hacking,M,Chennai,50-55,29
364,377,166,109,Travel,F,Chennai,45-50,12
278,273,202,467,War,F,Delhi,50-55,87
101,148,336,459,Banking,F,Mysore,60-65,3
314,251,161,356,Travel,F,Chandigarh,65-70,97
259,126,304,499,War,M,Chandigarh,35-40,57
474,294,247,143,Lifestyle,M,Mysore,25-30,71
389,390,229,140,Travel,F,Jodhpur,25-30,42
202,257,233,185,Food,F,Chennai,40-45,4
208,226,404,337,Lifestyle,F,Bangalore,25-30,37
371,455,490,256,Hacking,M,Mysore,45-50,85
243,206,133,133,Travel,F,Mumbai,50-55,7
193,216,164,277,Travel,M,Jodhpur,40-45,33
316,427,360,354,Food,F,Pune,65-70,80
405,415,480,476,Food,M,Chandigarh,30-35,25
461,113,332,373,Food,F,Pune,25-30,4
132,410,484,217,Lifestyle,F,Jodhpur,40-45,20
467,448,464,202,Banking,M,Delhi,20-25,33
115,240,322,443,Banking,F,Mysore,35-40,79
485,374,270,142,War,M,Pune,35-40,33
124,187,433,495,War,M,Jaipur,60-65,41
360,202,464,125,Food,F,Mysore,65-70,85
158,428,220,497,Lifestyle,M,Chandigarh,55-60,53
122,314,111,498,Lifestyle,M,Chennai,25-30,75
464,182,381,325,Lifestyle,F,Bangalore,65-70,45
254,310,223,363,Lifestyle,M,Delhi,35-40,43
402,438,127,332,Travel,M,Pune,25-30,0
353,249,215,415,Lifestyle,M,Mumbai,60-65,35
302,380,326,370,War,M,Jodhpur,35-40,40
420,371,445,372,Travel,M,Bangalore,45-50,56
463,428,100,375,Banking,M,Mysore,65-70,49
232,364,107,116,Food,M,Pune,60-65,51
473,235,240,492,Hacking,F,Bangalore,25-30,89
101,250,184,282,Lifestyle,F,Delhi,25-30,35
474,268,303,389,Travel,F,Bangalore,50-55,98
244,288,452,104,Travel,F,Bangalore,50-55,0
147,427,422,274,Banking,F,Chennai,50-55,94
372,105,199,345,Lifestyle,F,Mumbai,30-35,36
127,158,309,362,Lifestyle,F,Delhi,65-70,74
489,169,406,139,Hacking,F,Delhi,35-40,59
394,361,430,358,Banking,M,Delhi,50-55,37
392,251,450,392,Lifestyle,M,Mysore,40-45,41
151,300,185,472,Food,M,Mumbai,45-50,60
414,270,166,209,Food,M,Delhi,30-35,40
334,229,434,112,Banking,M,Chennai,25-30,18
358,231,455,431,Food,F,Chennai,45-50,60
473,127,203,456,War,M,Delhi,20-25,32
214,469,406,459,Banking,M,Delhi,60-65,2
275,436,484,112,Banking,F,Mysore,20-25,1
101,277,165,184,Hacking,M,Pune,60-65,10
336,471,202,296,Lifestyle,M,Chennai,30-35,26
291,456,251,195,Lifestyle,F,Mumbai,40-45,45
288,426,158,429,Travel,F,Bangalore,60-65,78
232,159,209,145,Travel,M,Delhi,35-40,26
132,393,335,157,Lifestyle,F,Jaipur,35-40,56
484,223,284,274,Food,F,Chennai,40-45,72
116,487,112,172,War,F,Jaipur,35-40,23
445,448,493,367,Travel,M,Jodhpur,65-70,9
381,192,453,198,Food,M,Jaipur,30-35,0
114,494,346,236,Food,M,Mumbai,35-40,38
321,422,327,303,War,F,Bangalore,40-45,89
196,406,302,395,Hacking,F,Chandigarh,65-70,94
105,383,356,127,Hacking,F,Pune,55-60,63
393,101,176,379,Travel,F,Chandigarh,30-35,4
250,455,394,347,War,M,Pune,35-40,71
451,346,387,187,Hacking,M,Pune,55-60,11
262,335,261,410,Banking,M,Pune,40-45,17
276,326,354,347,Hacking,F,Bangalore,20-25,17
163,261,405,177,Lifestyle,M,Chandigarh,50-55,13
452,226,277,314,Banking,F,Chennai,45-50,74
315,149,169,485,Food,M,Jaipur,40-45,45
453,455,248,497,Food,M,Chennai,20-25,98
255,268,140,401,War,M,Jodhpur,45-50,8
375,246,110,434,War,M,Jaipur,25-30,37
365,110,258,215,Hacking,F,Jaipur,25-30,33
156,330,387,489,Banking,M,Bangalore,55-60,83
408,284,289,177,Lifestyle,M,Chennai,20-25,2
457,492,325,320,Travel,M,Jodhpur,45-50,97
221,399,497,333,Food,M,Chennai,30-35,92
369,217,206,454,War,F,Pune,45-50,82
484,277,126,266,Banking,M,Bangalore,50-55,86
137,153,327,435,Travel,M,Delhi,55-60,74
366,225,182,199,Lifestyle,F,Mysore,35-40,22
218,255,458,452,Food,F,Chandigarh,55-60,97
367,287,385,106,Lifestyle,M,Bangalore,35-40,20
109,265,375,445,Food,F,Delhi,55-60,95
132,482,310,430,Banking,F,Chandigarh,25-30,9
168,385,354,435,Banking,M,Mumbai,25-30,3
463,413,365,104,War,M,Mysore,40-45,83
129,209,434,215,Hacking,M,Pune,65-70,79
327,117,433,228,War,M,Jaipur,60-65,21
223,209,328,327,Hacking,M,Pune,45-50,42
411,399,170,142,Travel,M,Pune,60-65,98
231,176,202,251,War,F,Bangalore,45-50,44
388,249,213,126,Travel,M,Mumbai,60-65,98
295,309,288,485,Hacking,F,Mumbai,20-25,47
214,465,255,416,War,F,Bangalore,65-70,95
351,296,155,379,Travel,F,Chennai,55-60,45
338,110,451,195,Travel,M,Bangalore,55-60,79
141,311,392,303,Travel,F,Chandigarh,60-65,4
286,252,372,474,Lifestyle,M,Mumbai,20-25,27
152,411,233,135,War,F,Delhi,45-50,47
276,361,127,221,Food,F,Chennai,35-40,95
184,345,266,394,Lifestyle,M,Jaipur,55-60,32
117,169,348,176,Lifestyle,M,Jaipur,20-25,20
198,299,262,201,Lifestyle,M,Mumbai,35-40,44
202,302,417,282,Banking,M,Bangalore,35-40,77
464,369,429,488,Travel,F,Delhi,40-45,27
372,363,478,193,Banking,M,Mysore,50-55,6
128,451,411,287,Travel,M,Bangalore,50-55,82
469,100,391,451,Food,M,Pune,30-35,5
466,382,100,231,War,F,Jodhpur,65-70,70
235,123,213,488,War,F,Bangalore,50-55,19
464,174,151,498,War,F,Chandigarh,45-50,74
214,237,492,450,Travel,M,Bangalore,20-25,43
412,102,499,309,Lifestyle,M,Mumbai,60-65,61
338,407,224,266,Banking,F,Delhi,35-40,57
282,464,149,395,Food,M,Jodhpur,55-60,22
317,457,409,345,Banking,M,Bangalore,50-55,54
175,450,479,255,Travel,F,Pune,25-30,2
114,126,407,113,War,M,Chennai,30-35,67
132,117,149,184,War,M,Mysore,40-45,24
182,219,365,374,Food,M,Jodhpur,20-25,42
305,384,349,465,Lifestyle,M,Mumbai,30-35,63
396,457,238,423,Travel,M,Delhi,35-40,17
349,391,339,318,Travel,F,Delhi,60-65,63
366,435,230,296,Banking,F,Mumbai,25-30,91
441,390,336,298,Lifestyle,F,Pune,30-35,45
330,389,292,393,Food,F,Jaipur,50-55,49
161,357,185,464,Food,F,Mysore,20-25,23
462,384,273,441,Food,F,Delhi,35-40,12
263,442,414,174,Travel,M,Mumbai,60-65,29
272,257,343,410,Travel,F,Chennai,50-55,18
340,414,174,208,Food,F,Pune,20-25,41
381,249,185,467,Travel,M,Pune,45-50,72
286,446,297,238,Food,F,Delhi,25-30,88
470,292,272,325,Hacking,M,Mysore,45-50,65
167,194,223,462,Food,M,Mysore,30-35,98
345,131,218,183,Banking,M,Bangalore,60-65,50
220,113,241,482,Hacking,M,Jodhpur,55-60,51
351,387,321,230,Hacking,M,Bangalore,25-30,58
168,393,102,212,Lifestyle,M,Delhi,20-25,73
177,481,451,477,Banking,M,Jaipur,25-30,77
380,278,434,380,War,M,Mysore,35-40,7
210,372,420,260,Hacking,F,Mysore,20-25,12
328,298,444,250,Hacking,M,Jodhpur,50-55,42
100,175,287,262,Banking,M,Jaipur,30-35,94
457,485,106,281,Hacking,F,Mysore,40-45,73
322,143,227,320,Hacking,M,Jaipur,20-25,51
492,110,334,408,Banking,F,Pune,45-50,46
380,102,376,337,Food,F,Mysore,35-40,5
138,349,138,114,Banking,F,Mumbai,60-65,34
492,331,426,387,Lifestyle,F,Jaipur,30-35,41
319,465,257,118,Travel,F,Mysore,25-30,97
234,483,321,345,Banking,M,Bangalore,30-35,76
443,194,131,187,War,M,Chandigarh,30-35,13
109,432,283,249,Hacking,M,Chandigarh,35-40,86
357,424,412,495,Lifestyle,F,Jodhpur,35-40,6
197,460,452,280,Food,F,Chennai,50-55,92
341,459,203,446,Food,M,Chandigarh,45-50,12
444,421,221,455,Banking,M,Chandigarh,20-25,78
440,253,211,222,Food,M,Bangalore,35-40,53
236,186,346,257,Lifestyle,M,Delhi,30-35,85
239,335,334,461,Banking,M,Mumbai,35-40,26
403,297,263,217,Food,M,Chandigarh,20-25,78
483,322,223,216,Lifestyle,F,Chandigarh,20-25,58
364,282,245,442,Banking,M,Jaipur,45-50,88
191,265,323,444,Food,F,Jaipur,40-45,54
402,237,380,111,Lifestyle,M,Chennai,20-25,14
425,210,320,390,Travel,F,Mumbai,25-30,9
430,492,310,490,War,F,Mumbai,35-40,8
204,427,337,250,Travel,M,Delhi,50-55,93
336,110,253,467,Hacking,M,Bangalore,55-60,11
299,311,300,129,Food,M,Bangalore,65-70,71
446,300,430,330,War,F,Mysore,20-25,33
436,439,446,114,Banking,M,Pune,60-65,77
117,355,121,401,Food,F,Jaipur,50-55,86
440,418,177,422,Travel,M,Jaipur,30-35,36
400,179,177,138,Travel,F,Delhi,30-35,18
138,261,219,378,Hacking,M,Chennai,60-65,0
320,349,254,465,Hacking,M,Chandigarh,65-70,51
120,125,450,167,Banking,M,Mysore,65-70,55
254,145,399,242,War,M,Jaipur,35-40,21
473,394,469,474,Banking,F,Jodhpur,35-40,5
216,369,141,135,Banking,M,Chennai,60-65,30
184,316,107,452,Banking,M,Pune,40-45,43
287,282,383,354,Lifestyle,M,Chennai,30-35,73
312,291,143,291,War,M,Jodhpur,30-35,27
109,201,130,418,Food,M,Chandigarh,50-55,41
451,354,499,297,Hacking,F,Delhi,40-45,2
267,280,344,196,Travel,F,Mysore,25-30,68
305,483,270,374,Hacking,F,Jaipur,20-25,32
252,470,261,404,Hacking,M,Bangalore,55-60,3
357,170,113,274,Travel,F,Chandigarh,65-70,25
110,336,244,459,Travel,M,Jodhpur,25-30,82
186,324,247,159,Travel,M,Pune,25-30,68
484,369,402,413,Food,M,Delhi,20-25,2
323,445,334,425,War,F,Chandigarh,40-45,0
300,124,431,415,Travel,F,Jodhpur,30-35,64
133,307,321,170,Banking,M,Pune,25-30,9
163,413,116,131,War,F,Chennai,35-40,4
440,494,207,344,Banking,M,Delhi,65-70,49
328,378,302,405,Hacking,M,Jodhpur,20-25,3
188,420,321,365,War,F,Delhi,60-65,33
109,219,260,443,Banking,M,Jodhpur,55-60,85
390,142,376,239,War,F,Pune,45-50,9
276,126,174,251,Banking,F,Jodhpur,45-50,77
380,441,217,491,Lifestyle,M,Mysore,65-70,86
448,312,376,396,Hacking,M,Chennai,35-40,30
429,123,331,275,Lifestyle,M,Jaipur,40-45,62
346,264,112,358,War,M,Mysore,35-40,93
213,277,223,291,Hacking,F,Chandigarh,40-45,56
114,452,340,440,Travel,F,Pune,65-70,40
343,440,215,109,Travel,M,Jodhpur,25-30,36
290,275,269,268,War,M,Delhi,30-35,49
356,282,220,476,Travel,F,Jodhpur,50-55,33
240,466,186,114,Banking,F,Mysore,35-40,63
228,304,308,148,Travel,M,Mumbai,60-65,22
127,349,212,321,Lifestyle,F,Jaipur,35-40,21
150,273,112,480,War,F,Jaipur,35-40,73
232,471,325,357,Hacking,M,Jaipur,65-70,47
177,386,482,136,Food,M,Jodhpur,40-45,45
218,174,247,432,Food,F,Bangalore,20-25,80
392,487,442,451,War,F,Jodhpur,50-55,48
291,325,249,493,War,F,Chandigarh,60-65,94
161,202,189,236,Food,M,Jodhpur,55-60,18
295,142,249,484,Banking,F,Mysore,35-40,80
400,375,329,171,War,M,Delhi,30-35,48
480,332,274,452,Banking,F,Pune,45-50,71
479,491,159,493,Banking,M,Chennai,40-45,89
284,197,466,427,Banking,M,Jaipur,60-65,48
426,181,443,124,Travel,M,Jaipur,30-35,60
126,167,208,104,Travel,M,Chennai,65-70,17
141,375,288,376,Lifestyle,M,Jaipur,45-50,23
120,205,313,440,Travel,M,Chennai,30-35,76
462,307,136,298,War,F,Chandigarh,30-35,51
182,367,141,197,Banking,F,Bangalore,30-35,46
222,173,285,263,Food,M,Bangalore,65-70,44
198,128,224,121,Banking,M,Delhi,30-35,70
235,240,205,378,Banking,M,Chandigarh,45-50,24
153,177,412,217,Lifestyle,M,Mumbai,65-70,40
208,216,219,128,War,F,Mumbai,35-40,45
397,469,270,477,Hacking,F,Mysore,65-70,91
454,346,478,127,Hacking,M,Bangalore,35-40,37
336,205,161,165,Food,F,Chandigarh,50-55,63
448,274,434,229,Travel,F,Bangalore,20-25,1
183,344,415,325,War,M,Bangalore,65-70,40
201,285,418,332,Lifestyle,M,Jodhpur,20-25,50
113,135,301,349,Travel,M,Delhi,40-45,17
245,411,312,322,Lifestyle,M,Pune,35-40,83
426,199,499,419,Food,M,Bangalore,30-35,96
385,271,134,382,War,F,Delhi,20-25,20
422,332,113,497,Hacking,F,Bangalore,65-70,30
274,345,464,342,Lifestyle,M,Mysore,35-40,25
270,438,127,497,Hacking,F,Jodhpur,55-60,70
415,138,421,158,Lifestyle,F,Pune,30-35,55
295,368,375,262,Banking,F,Jodhpur,60-65,72
353,371,439,447,War,M,Jodhpur,45-50,15
308,251,283,189,Travel,F,Chandigarh,45-50,3
